_id,created_at,favorite_count,lang,retweet_count,text,user_descreption,user_favourites_count,user_followers_count,user_friends_count,user_location,user_name
62a9fa7e0773fd56d77ef12a,Wed Jun 15 15:27:20 +0000 2022,0,en,18, from factory your doorstep with the right data can help you automate your entire supply chain around ,your favorite💕 👦 boi,37464,395,478,"Lagos, Nigeria",Olu Mayowa 🇳🇬
62a9fa7e0773fd56d77ef12b,Wed Jun 15 15:27:13 +0000 2022,0,en,1, thank you for exploring the current supplychain outlook and tips for advancement with members our ,FORGE is a 501c3 nonprofit on a mission to help innovators navigate the journey from physical prototype through to commercialization and IMPACT at scale.,3193,704,923,,FORGE
62a9fa7e0773fd56d77ef12c,Wed Jun 15 15:25:39 +0000 2022,0,en,0,have you ever had role like customs amp trade compliance mgr remote what did you like most about that job supplychain thedford ,Follow this account for geo-targeted Supply Chain job tweets in Nebraska Non-Metro. Need help? Tweet us at @CareerArc!,0,236,191,Nebraska,NE SupplyChn
62a9fa7e0773fd56d77ef12d,Wed Jun 15 15:25:00 +0000 2022,0,und,0, solution solutions supplychain hydraulic hydraulics heavyduty mechanic hydraulicrepair quality value ,"A leader in cylinder sealing technology. We engineer,design,manufacture, and stock seals and packing for commercial, industrial and military applications!",198,358,808,"Manchester, PA USA",AYTweets
62a9fa7e0773fd56d77ef12e,Wed Jun 15 15:22:45 +0000 2022,0,en,1, 𝐶𝐸𝑂𝑓𝑜𝑟𝐿𝐼𝐹𝐸 𝑵𝒐𝒎𝒊𝒏𝒂𝒕𝒊𝒐𝒏 𝑁𝑒𝑤𝑠 stay date sustainability visiting ,Global policy and action lab of @weincludedorg for supporting & cultivating next-gen leaders to solve world challenges @forglobalgoals by co-creation!,26,6651,3,"Palo Alto, CA",SDGs Co:Lab
62a9fa7e0773fd56d77ef12f,Wed Jun 15 15:22:42 +0000 2022,0,en,8, for those doing business with china starting next tuesday goods sourced mined produced manufactured who ,"Legal Analyst @BLaw. Law school innovation & legal tech enthusiast. @UTAustin (hook 'em!) & @VanderbiltLaw grad. Dog mom🐶. 
Tweets are mine; RTs≠endorsements.",1034,262,455,"Washington, DC",Rachael Pikulski
62a9fa7e0773fd56d77ef130,Wed Jun 15 15:22:31 +0000 2022,0,en,0, for vivatech ownest has talks one them tomorrow the booth great ,"Ownest leverages #NFT technology and open #blockchain to create a unique SaaS tracking software for #Supplychain.

Since 2017",1884,940,181,"Paris, France",Ownest
62a9fa7e0773fd56d77ef131,Wed Jun 15 15:22:23 +0000 2022,0,en,17, some the biggest stores are reportedly seeing shortage feminine hygiene products while the cost the essentia ,We are an electric car company.,36496,1801,1966,Michigan,Mote Motor Company
62a9fa7e0773fd56d77ef132,Wed Jun 15 15:22:02 +0000 2022,0,en,1,𝐶𝐸𝑂𝑓𝑜𝑟𝐿𝐼𝐹𝐸 𝑵𝒐𝒎𝒊𝒏𝒂𝒕𝒊𝒐𝒏 𝑁𝑒𝑤𝑠 stay date sustainability visiting ,The CEOforLife Awards honour CEOs that have set new standards of excellence in their SDGs projects to achieve a better and more Sustainable Future.,24,14,34,"Rome, Italy",Global CEOforLIFE Awards
62a9fa7e0773fd56d77ef133,Wed Jun 15 15:20:08 +0000 2022,0,bn,2, সরব করছ ,"I am a college student
I am a cricket fan",175947,117,374,Khardaha,Avirup Sen
62a9fa7e0773fd56d77ef134,Wed Jun 15 15:20:06 +0000 2022,1,en,1,thank you for exploring the current supplychain outlook and tips for advancement with members ,The largest #climatetech startup incubator in North America—powered by a community of #entrepreneurs tackling the biggest #climate + #environmental challenges.,13305,14809,2612,"Somerville, MA + Houston, TX",Greentown Labs
62a9fa7e0773fd56d77ef135,Wed Jun 15 15:19:36 +0000 2022,0,en,0,why mins delivery necessary all views are welcome minsdelivery supplychain ratrace,ॐ तत् सत्,192,1,187,,Prateek
62a9fa7e0773fd56d77ef136,Wed Jun 15 15:19:00 +0000 2022,0,und,0, solution solutions supplychain hydraulic hydraulics heavyduty mechanic hydraulicrepair quality value ,"A leader in cylinder sealing technology. We engineer,design,manufacture, and stock seals and packing for commercial, industrial and military applications!",198,358,808,"Manchester, PA USA",AYTweets
62a9fa7e0773fd56d77ef137,Wed Jun 15 15:18:50 +0000 2022,0,en,0,the value the service offer goes beyond inventory management and beyond supply chain visibility are hirin ,Yusen Logistics is an award-winning #global #logistics provider with more than 60 years of expertise in #freight forwarding and #transportation.,0,65,110,,Yusen Logistics Careers
62a9fa7e0773fd56d77ef138,Wed Jun 15 15:18:39 +0000 2022,0,en,0,check out our latest supplychain openings worldwide clicking the link our bio ,Follow this account for geo-targeted Supply Chain job tweets in Worldwide. Need help? Tweet us at @CareerArc!,0,270,204,Worldwide,Worldwide SupplyChn
62a9fa7e0773fd56d77ef139,Wed Jun 15 15:18:33 +0000 2022,0,en,0, our new range business intelligence products display multimodal helping companies make more effective use ,"🚀 Do data stuff. Do software integration and engagement stuff. 🚴‍♂️ Ride bikes, love bikes 🚴‍♂️ Customer Success & Sales guy @ theifactory.",2199,995,1882,United Kingdom,📲 Dazza Blackstock 🇪🇺
62a9fa7e0773fd56d77ef13a,Wed Jun 15 15:18:00 +0000 2022,0,en,0, world where everything moving digital here quick overview how ecu helps freight forwarders ,"The world's go-to digital platform for global trade.
#freightforwarder #logistics #supplychain #digitallogistic",4,38,2,,ECU360
62a9fa7e0773fd56d77ef13b,Wed Jun 15 15:17:40 +0000 2022,0,en,0,are you ready take the next step your career are hiring check out the full time roles are currently ,#SupplyChain #Staffing #IT #Jobs Sister Company @SpinnakerSCA | Helping our Clients fill peripheral skills “Back-up” Staffing needs.,120,86,296,"Pittsburgh, PA",Pros2Plan
62a9fa7e0773fd56d77ef13c,Wed Jun 15 15:16:56 +0000 2022,0,en,3, our deputy ceo malgosia bartosik annual conference serock poland main topics this year editio ,Baltic Offshore Wind starts in Rumia,678,267,732,"Rumia, Poland",Baltic Offshore Wind Rumia
62a9fa7e0773fd56d77ef13d,Wed Jun 15 15:16:33 +0000 2022,1,it,0, vuole tornare avere una propria industria per electricvehicles deve uscire dalle logiche delle attual ,"Ingegnere minerario. Autore di ""Energia Verde? Prepariamoci a scavare"". Nato a Venezia (già Serenissima Repubblica) vivo a Bologna (già Stato Pontificio)",1173,205,186,"Bologna, Emilia Romagna",Giovanni Brussato
62a9fa7e0773fd56d77ef13e,Wed Jun 15 15:16:06 +0000 2022,0,bn,2, সরব করছ ,Human,6833,109,397,"Bengaluru South, India",Anasua
62a9fa7e0773fd56d77ef13f,Wed Jun 15 15:15:04 +0000 2022,0,en,0,cdm software solutions awarded top logistics provider logistics transport ,"CDM Asset, Inspection, Maintenance (AIM) is a complete mobile & web solution that utilizes RFID, GPS to assist Oil & Gas service providers & Other Industries",0,7,62,"Dallas, Texas",CDM AIM
62a9fa7e0773fd56d77ef140,Wed Jun 15 15:15:04 +0000 2022,0,en,0,cdm software solutions awarded top logistics provider logistics transport ,Global Logistics & Supply Chain Technology Software Solutions,0,6,0,"Dallas, Texas",CDM Supply Chain Technology
62a9fa7e0773fd56d77ef141,Wed Jun 15 15:15:04 +0000 2022,0,en,0,cdm software solutions awarded top logistics provider logistics transport ,"Global Logistics, Forwarding, Compliance Software Provider",0,1,0,"Global Offices, Dallas HQ","CDM Software Solutions, Inc."
62a9fa7e0773fd56d77ef142,Wed Jun 15 15:15:04 +0000 2022,0,en,0,cdm software solutions awarded top logistics provider logistics transport ,"Supply Chain, Logistics, Shipment Visibility, Compliance, Asset Tracking via GPS,IOT,RFID and CERTIFIED U.S. Customs software provider to Global Trade",1217,117,172,"Dallas, Texas",Darrell Ortiz - CDM
62a9fa7e0773fd56d77ef143,Wed Jun 15 15:15:00 +0000 2022,0,en,0,retailers grapple with commerce drag profits report supplychain retail ecommerce,"Tweeting, Blogging, and Podcasting about 
Trends & Innovations in Supply Chain and Logistics

DM for Sponsored Content options",1532,22689,7858,"Rotterdam, the Netherlands",Martijn Graat
62a9fa7e0773fd56d77ef144,Wed Jun 15 15:14:44 +0000 2022,0,en,4, mercé presents creating value patientcentred care aligning the supplychain service ,"Vanprob Solutions works into field of Research, Manufacturing, Marketing & Commerce; with allies in India, USA, UK, Korea, Sweden, Australia, Japan, etc.",0,83,1,"Mumbai, India",Vanprob
62a9fa7e0773fd56d77ef145,Wed Jun 15 15:14:39 +0000 2022,0,en,6, the impact artificial intelligence injection molding artificialintelligence technology machinelearning deeplear ,"Vanprob Solutions works into field of Research, Manufacturing, Marketing & Commerce; with allies in India, USA, UK, Korea, Sweden, Australia, Japan, etc.",0,83,1,"Mumbai, India",Vanprob
62a9fa7e0773fd56d77ef146,Wed Jun 15 15:14:33 +0000 2022,0,en,1, the north carolina collaboratory relies sas for iot azure harness the complex system cold chain logistics learn ,"Entrepreneur. #IoT, #Robotics, #HPC, #IoTSecurity, #IIoT, #DeepLearning",419,3916,102,,IoT Together
62a9fa7e0773fd56d77ef147,Wed Jun 15 15:14:30 +0000 2022,0,en,3, thanks craig hillier paul and sean harapko from for joining the ceoleadershipcouncil for enlightening disc ,"Vanprob Solutions works into field of Research, Manufacturing, Marketing & Commerce; with allies in India, USA, UK, Korea, Sweden, Australia, Japan, etc.",0,83,1,"Mumbai, India",Vanprob
62a9fa7e0773fd56d77ef148,Wed Jun 15 15:14:06 +0000 2022,1,fr,0, vivatech dira jamais assez toute importance traçabilité alimentaire est que propose ,"Agence Conseil & Formation 
#Communication #Digital #SocialMedia 
#RSE #FeelGood
#Speaker 
Mode▶️&⏸️ 
@LaBrigadeDuWeb 
Pdte @FeminismeAsso 
#ExpertesDuNumérique",54004,12784,5189,"Ile-de-France, France",Martine Le Jossec à #Vivatech & #FeelGood 🙏🏼
62a9fa7e0773fd56d77ef149,Wed Jun 15 15:14:00 +0000 2022,0,en,1,the north carolina collaboratory relies sas for iot azure harness the complex system cold chain logist ,"Senior Industry Consultant 
@SASMfg | #analytics | #IoT | #supplychain |  #quality | #reliability Family man, Hokies fan. Tweets are mine.",152,118,67,,Bryan Saunders
62a9fa7e0773fd56d77ef14a,Wed Jun 15 15:13:58 +0000 2022,0,en,0,matchmarketplace our collaborative neutral platform where supplychain stakeholders connect uncover street ,MatchBack Systems provides the leading software solution for container street-turns to reduce cost and emissions by eliminating empty inland moves.,306,74,167,North America,MatchBack Systems
62a9fa7e0773fd56d77ef14b,Wed Jun 15 15:12:37 +0000 2022,1,de,0,taiwan investiert viel weiter epizentrum der chipfertigung bleiben angesichts der halbleiterkrise der geo ,Jurist am Tag und Nerd bei Nacht | taucht in der #Jurabubble | #ITSicherheit #Digitalisierung #TeamDatenschutz #TeamRechtsstaat,29025,1708,476,,Steve Ritter
62a9fa7e0773fd56d77ef14c,Wed Jun 15 15:12:09 +0000 2022,0,en,0, curious mind never rests pushes harder and searches out the right answer are you someone that relentlessly ,"Follow this account for geo-targeted Supply Chain job tweets in Ann Arbor, MI. Need help? Tweet us at @CareerArc!",0,260,189,"Ann Arbor, MI",Minnesota S-Chain
62a9fa7e0773fd56d77ef14d,Wed Jun 15 15:11:41 +0000 2022,0,en,0,looking for crystal ball predict future demand too but until find one will following these tip ,John Galt Solutions serves mid-market and large global enterprises facing complex supply chain planning challenges helping them make better and faster decisions,131,298,345,"Dallas, Texas",John Galt Solutions
62a9fa7e0773fd56d77ef14e,Wed Jun 15 15:11:35 +0000 2022,0,en,0, tried and true ways improve your supply chain supplychain sourcing globalsupplychain ,"Engineered Space Optimization

SpanTrack | FlowCell | SpeedCell

Smart Space Solutions that Transform the Supply Chain.",4103,2131,1968,"Lakewood, NJ",UNEX Manufacturing
62a9fa7e0773fd56d77ef14f,Wed Jun 15 15:11:29 +0000 2022,0,en,0,want land job like warehouse loader shift cvs health applicant tracking systems look for specific ,"Follow this account for geo-targeted Supply Chain job tweets in Fairfax, VA. Need help? Tweet us at @CareerArc!",0,286,185,"Fairfax, VA",Fairfax Area S-Chain
